datetime,open,high,low,close
2020-07-13 21:00:00,3.834,3.837,3.82,3.834
2020-07-13 21:05:00,3.834,3.871,3.834,3.866
2020-07-13 21:10:00,3.866,3.874,3.859,3.873
2020-07-13 21:15:00,3.873,3.874,3.862,3.868
2020-07-13 21:20:00,3.868,3.868,3.851,3.853
2020-07-13 21:25:00,3.857,3.869,3.853,3.868
2020-07-13 21:30:00,3.868,3.875,3.855,3.862
2020-07-13 21:35:00,3.862,3.863,3.856,3.857
2020-07-13 21:40:00,3.861,3.861,3.855,3.859
2020-07-13 21:45:00,3.857,3.858,3.85,3.856
2020-07-13 21:50:00,3.857,3.859,3.852,3.852
2020-07-13 21:55:00,3.853,3.855,3.838,3.85
2020-07-13 22:00:00,3.849,3.849,3.791,3.798
2020-07-13 22:05:00,3.798,3.805,3.766,3.778
2020-07-13 22:10:00,3.774,3.798,3.746,3.791
2020-07-13 22:15:00,3.797,3.799,3.777,3.781
2020-07-13 22:20:00,3.784,3.799,3.768,3.79
2020-07-13 22:25:00,3.789,3.797,3.78,3.796
2020-07-13 22:30:00,3.794,3.8,3.786,3.798
2020-07-13 22:35:00,3.798,3.803,3.788,3.797
2020-07-13 22:40:00,3.796,3.798,3.785,3.798
2020-07-13 22:45:00,3.798,3.807,3.789,3.795
2020-07-13 22:50:00,3.796,3.805,3.788,3.798
2020-07-13 22:55:00,3.799,3.804,3.792,3.803
2020-07-13 23:00:00,3.804,3.805,3.79,3.8
2020-07-13 23:05:00,3.798,3.803,3.786,3.789
2020-07-13 23:10:00,3.789,3.795,3.771,3.787
2020-07-13 23:15:00,3.787,3.791,3.777,3.788
2020-07-13 23:20:00,3.786,3.8,3.783,3.8
2020-07-13 23:25:00,3.799,3.82,3.793,3.818
2020-07-13 23:30:00,3.82,3.842,3.812,3.842
2020-07-13 23:35:00,3.841,3.87,3.841,3.85
2020-07-13 23:40:00,3.851,3.9,3.85,3.89
2020-07-13 23:45:00,3.894,3.9,3.877,3.899
2020-07-13 23:50:00,3.898,3.9,3.887,3.894
2020-07-13 23:55:00,3.894,3.894,3.87,3.874
2020-07-14 00:00:00,3.872,3.884,3.824,3.846
2020-07-14 00:05:00,3.846,3.859,3.84,3.855
2020-07-14 00:10:00,3.855,3.885,3.843,3.879
2020-07-14 00:15:00,3.882,3.9,3.874,3.899
2020-07-14 00:20:00,3.894,3.899,3.883,3.894
2020-07-14 00:25:00,3.893,3.9,3.864,3.88
2020-07-14 00:30:00,3.881,3.881,3.847,3.869
2020-07-14 00:35:00,3.869,3.869,3.845,3.858
2020-07-14 00:40:00,3.86,3.861,3.85,3.86
2020-07-14 00:45:00,3.858,3.866,3.848,3.857
2020-07-14 00:50:00,3.857,3.859,3.844,3.852
2020-07-14 00:55:00,3.852,3.852,3.841,3.846
2020-07-14 01:00:00,3.844,3.844,3.805,3.825
2020-07-14 01:05:00,3.825,3.847,3.823,3.844
2020-07-14 01:10:00,3.845,3.867,3.83,3.865
2020-07-14 01:15:00,3.866,3.895,3.864,3.895
2020-07-14 01:20:00,3.894,3.923,3.88,3.912
2020-07-14 01:25:00,3.911,3.951,3.906,3.951
2020-07-14 01:30:00,3.949,3.995,3.904,3.989
2020-07-14 01:35:00,3.993,4.046,3.99,4.022
2020-07-14 01:40:00,4.022,4.038,4.001,4.02
2020-07-14 01:45:00,4.021,4.021,3.983,4.002
2020-07-14 01:50:00,4.002,4.005,3.971,3.983
